Entry Time (UTC),Entry Time (SAST),Exit Time (UTC),Exit Time (SAST),Duration,Direction,Size,EntryPrice,ExitPrice,PnL,Return %,Winner,Day,Month,Year
30/04/2024 15:00,30/04/2024 17:00,30/04/2024 20:00,30/04/2024 22:00,5h 00m,SHORT,2,17732.0,17473.5,502.92,1.42,Win,Tuesday,04/2024,2024
30/04/2024 15:00,30/04/2024 17:00,03/05/2024 13:00,03/05/2024 15:00,2d 22h 00m,SHORT,3,17732.0,18000.25,-826.19,-1.55,Loss,Tuesday,04/2024,2024
07/05/2024 15:00,07/05/2024 17:00,15/05/2024 14:00,15/05/2024 16:00,7d 23h 00m,LONG,2,18234.25,18482.0,480.81,1.32,Win,Tuesday,05/2024,2024
07/05/2024 15:00,07/05/2024 17:00,16/05/2024 15:00,16/05/2024 17:00,9d 00h 00m,LONG,2,18234.25,18724.25,965.22,2.65,Win,Tuesday,05/2024,2024
07/05/2024 15:00,07/05/2024 17:00,23/05/2024 13:00,23/05/2024 15:00,15d 22h 00m,LONG,1,18234.25,18851.75,610.08,3.35,Win,Tuesday,05/2024,2024
24/05/2024 15:00,24/05/2024 17:00,30/05/2024 15:00,30/05/2024 17:00,6d 00h 00m,LONG,5,18858.75,18669.0,-986.28,-1.05,Loss,Friday,05/2024,2024
30/05/2024 15:00,30/05/2024 17:00,31/05/2024 14:00,31/05/2024 16:00,23h 00m,SHORT,2,18623.75,18356.0,520.71,1.4,Win,Thursday,05/2024,2024
30/05/2024 15:00,30/05/2024 17:00,31/05/2024 15:00,31/05/2024 17:00,1d 00h 00m,SHORT,2,18623.75,18294.75,643.23,1.73,Win,Thursday,05/2024,2024
30/05/2024 15:00,30/05/2024 17:00,03/06/2024 13:00,03/06/2024 15:00,3d 22h 00m,SHORT,1,18623.75,18652.25,-35.96,-0.19,Loss,Thursday,05/2024,2024
05/06/2024 15:00,05/06/2024 17:00,07/06/2024 17:00,07/06/2024 19:00,2d 02h 00m,LONG,2,18921.25,19113.75,369.79,0.98,Win,Wednesday,06/2024,2024
05/06/2024 15:00,05/06/2024 17:00,11/06/2024 20:00,11/06/2024 22:00,6d 05h 00m,LONG,2,18921.25,19227.0,596.24,1.58,Win,Wednesday,06/2024,2024
05/06/2024 15:00,05/06/2024 17:00,12/06/2024 13:00,12/06/2024 15:00,6d 22h 00m,LONG,1,18921.25,19491.0,562.07,2.97,Win,Wednesday,06/2024,2024
12/06/2024 15:00,12/06/2024 17:00,14/06/2024 20:00,14/06/2024 22:00,2d 05h 00m,LONG,2,19497.5,19679.0,347.33,0.89,Win,Wednesday,06/2024,2024
12/06/2024 15:00,12/06/2024 17:00,17/06/2024 17:00,17/06/2024 19:00,5d 02h 00m,LONG,3,19497.5,19963.0,1372.82,2.35,Win,Wednesday,06/2024,2024
18/06/2024 15:00,18/06/2024 17:00,27/06/2024 13:00,27/06/2024 15:00,8d 22h 00m,SHORT,5,19851.75,20060.25,-1082.41,-1.09,Loss,Tuesday,06/2024,2024
27/06/2024 15:00,27/06/2024 17:00,28/06/2024 13:00,28/06/2024 15:00,22h 00m,SHORT,5,19954.0,20147.75,-1008.85,-1.01,Loss,Thursday,06/2024,2024
28/06/2024 15:00,28/06/2024 17:00,28/06/2024 19:00,28/06/2024 21:00,4h 00m,SHORT,2,20075.75,19906.25,323.01,0.8,Win,Friday,06/2024,2024
28/06/2024 15:00,28/06/2024 17:00,02/07/2024 15:00,02/07/2024 17:00,4d 00h 00m,SHORT,3,20075.75,20084.75,-51.1,-0.08,Loss,Friday,06/2024,2024
03/07/2024 15:30,03/07/2024 17:30,05/07/2024 14:00,05/07/2024 16:00,1d 22h 30m,LONG,2,20292.5,20462.25,323.2,0.8,Win,Wednesday,07/2024,2024
03/07/2024 15:30,03/07/2024 17:30,08/07/2024 17:00,08/07/2024 19:00,5d 01h 30m,LONG,2,20292.5,20625.75,650.13,1.6,Win,Wednesday,07/2024,2024
03/07/2024 15:30,03/07/2024 17:30,09/07/2024 13:00,09/07/2024 15:00,5d 21h 30m,LONG,1,20292.5,20749.25,448.54,2.21,Win,Wednesday,07/2024,2024
10/07/2024 15:00,10/07/2024 17:00,10/07/2024 17:00,10/07/2024 19:00,2h 00m,SHORT,5,20703.0,20874.0,-896.58,-0.87,Loss,Wednesday,07/2024,2024
11/07/2024 15:00,11/07/2024 17:00,12/07/2024 14:00,12/07/2024 16:00,23h 00m,SHORT,5,20475.75,20636.25,-843.61,-0.82,Loss,Thursday,07/2024,2024
12/07/2024 15:00,12/07/2024 17:00,17/07/2024 13:00,17/07/2024 15:00,4d 22h 00m,LONG,5,20589.75,20209.0,-1944.55,-1.89,Loss,Friday,07/2024,2024
17/07/2024 15:00,17/07/2024 17:00,18/07/2024 15:00,18/07/2024 17:00,1d 00h 00m,SHORT,2,20053.0,19785.0,520.06,1.3,Win,Wednesday,07/2024,2024
17/07/2024 15:00,17/07/2024 17:00,19/07/2024 16:00,19/07/2024 18:00,2d 01h 00m,SHORT,2,20053.0,19686.5,717.1,1.79,Win,Wednesday,07/2024,2024
17/07/2024 15:00,17/07/2024 17:00,24/07/2024 14:00,24/07/2024 16:00,6d 23h 00m,SHORT,1,20053.0,19435.0,610.1,3.04,Win,Wednesday,07/2024,2024
24/07/2024 15:00,24/07/2024 17:00,25/07/2024 13:00,25/07/2024 15:00,22h 00m,SHORT,2,19357.25,19016.5,666.15,1.72,Win,Wednesday,07/2024,2024
24/07/2024 15:00,24/07/2024 17:00,25/07/2024 14:00,25/07/2024 16:00,23h 00m,SHORT,2,19357.25,18883.25,932.7,2.41,Win,Wednesday,07/2024,2024
24/07/2024 15:00,24/07/2024 17:00,31/07/2024 14:00,31/07/2024 16:00,6d 23h 00m,SHORT,1,19357.25,19371.75,-22.25,-0.11,Loss,Wednesday,07/2024,2024
01/08/2024 15:00,01/08/2024 17:00,01/08/2024 18:00,01/08/2024 20:00,3h 00m,SHORT,2,19146.25,18868.25,540.79,1.41,Win,Thursday,08/2024,2024
01/08/2024 15:00,01/08/2024 17:00,02/08/2024 13:00,02/08/2024 15:00,22h 00m,SHORT,2,19146.25,18542.0,1193.42,3.12,Win,Thursday,08/2024,2024
01/08/2024 15:00,01/08/2024 17:00,05/08/2024 13:00,05/08/2024 15:00,3d 22h 00m,SHORT,1,19146.25,17881.0,1257.84,6.57,Win,Thursday,08/2024,2024
05/08/2024 15:00,05/08/2024 17:00,06/08/2024 15:00,06/08/2024 17:00,1d 00h 00m,LONG,2,17888.25,18182.0,573.07,1.6,Win,Monday,08/2024,2024
05/08/2024 15:00,05/08/2024 17:00,07/08/2024 20:00,07/08/2024 22:00,2d 05h 00m,LONG,4,17888.25,17836.25,-236.58,-0.33,Loss,Monday,08/2024,2024
08/08/2024 15:00,08/08/2024 17:00,13/08/2024 13:00,13/08/2024 15:00,4d 22h 00m,LONG,2,18323.25,18791.25,921.15,2.51,Win,Thursday,08/2024,2024
08/08/2024 15:00,08/08/2024 17:00,13/08/2024 17:00,13/08/2024 19:00,5d 02h 00m,LONG,2,18323.25,19006.5,1351.57,3.69,Win,Thursday,08/2024,2024
08/08/2024 15:00,08/08/2024 17:00,14/08/2024 15:00,14/08/2024 17:00,6d 00h 00m,LONG,1,18323.25,19196.75,866.0,4.73,Win,Thursday,08/2024,2024
14/08/2024 15:00,14/08/2024 17:00,15/08/2024 14:00,15/08/2024 16:00,23h 00m,LONG,2,19053.5,19405.5,688.62,1.81,Win,Wednesday,08/2024,2024
14/08/2024 15:00,14/08/2024 17:00,19/08/2024 19:00,19/08/2024 21:00,5d 04h 00m,LONG,2,19053.5,19756.0,1389.48,3.65,Win,Wednesday,08/2024,2024
14/08/2024 15:00,14/08/2024 17:00,20/08/2024 13:00,20/08/2024 15:00,5d 22h 00m,LONG,1,19053.5,19918.5,857.21,4.5,Win,Wednesday,08/2024,2024
22/08/2024 15:00,22/08/2024 17:00,28/08/2024 15:00,28/08/2024 17:00,6d 00h 00m,SHORT,2,19664.0,19339.25,633.9,1.61,Win,Thursday,08/2024,2024
22/08/2024 15:00,22/08/2024 17:00,03/09/2024 17:00,03/09/2024 19:00,12d 02h 00m,SHORT,2,19664.0,19103.25,1105.99,2.81,Win,Thursday,08/2024,2024
22/08/2024 15:00,22/08/2024 17:00,04/09/2024 20:00,04/09/2024 22:00,13d 05h 00m,SHORT,1,19664.0,18964.5,691.77,3.52,Win,Thursday,08/2024,2024
05/09/2024 15:00,05/09/2024 17:00,06/09/2024 14:00,06/09/2024 16:00,23h 00m,SHORT,2,18842.0,18506.0,657.06,1.74,Win,Thursday,09/2024,2024
05/09/2024 15:00,05/09/2024 17:00,11/09/2024 17:00,11/09/2024 19:00,6d 02h 00m,SHORT,4,18842.0,18908.0,-294.2,-0.39,Loss,Thursday,09/2024,2024
13/09/2024 15:00,13/09/2024 17:00,19/09/2024 15:00,19/09/2024 17:00,6d 00h 00m,LONG,2,19498.75,19813.75,614.28,1.58,Win,Friday,09/2024,2024
13/09/2024 15:00,13/09/2024 17:00,24/09/2024 13:00,24/09/2024 15:00,10d 22h 00m,LONG,2,19498.75,20083.0,1152.67,2.96,Win,Friday,09/2024,2024
13/09/2024 15:00,13/09/2024 17:00,25/09/2024 13:00,25/09/2024 15:00,11d 22h 00m,LONG,1,19498.75,20232.0,725.3,3.72,Win,Friday,09/2024,2024
25/09/2024 15:00,25/09/2024 17:00,26/09/2024 13:00,26/09/2024 15:00,22h 00m,SHORT,5,20179.0,20427.5,-1283.11,-1.27,Loss,Wednesday,09/2024,2024
27/09/2024 15:00,27/09/2024 17:00,01/10/2024 13:00,01/10/2024 15:00,3d 22h 00m,SHORT,2,20231.5,19978.5,489.92,1.21,Win,Friday,09/2024,2024
27/09/2024 15:00,27/09/2024 17:00,08/10/2024 19:00,08/10/2024 21:00,11d 04h 00m,SHORT,3,20231.5,20255.25,-95.54,-0.16,Loss,Friday,09/2024,2024
09/10/2024 15:00,09/10/2024 17:00,14/10/2024 16:00,14/10/2024 18:00,5d 01h 00m,LONG,2,20360.75,20578.0,418.12,1.03,Win,Wednesday,10/2024,2024
09/10/2024 15:00,09/10/2024 17:00,15/10/2024 14:00,15/10/2024 16:00,5d 23h 00m,LONG,3,20360.75,20331.25,-112.92,-0.18,Loss,Wednesday,10/2024,2024
16/10/2024 15:00,16/10/2024 17:00,17/10/2024 17:00,17/10/2024 19:00,1d 02h 00m,LONG,2,20266.0,20459.25,370.21,0.91,Win,Wednesday,10/2024,2024
16/10/2024 15:00,16/10/2024 17:00,23/10/2024 16:00,23/10/2024 18:00,7d 01h 00m,LONG,3,20266.0,20232.5,-124.8,-0.21,Loss,Wednesday,10/2024,2024
24/10/2024 15:00,24/10/2024 17:00,25/10/2024 13:00,25/10/2024 15:00,22h 00m,SHORT,5,20264.0,20649.5,-1968.41,-1.94,Loss,Thursday,10/2024,2024
25/10/2024 15:00,25/10/2024 17:00,31/10/2024 13:00,31/10/2024 15:00,5d 22h 00m,SHORT,2,20603.25,20150.75,888.7,2.16,Win,Friday,10/2024,2024
25/10/2024 15:00,25/10/2024 17:00,31/10/2024 14:00,31/10/2024 16:00,5d 23h 00m,SHORT,2,20603.25,20070.25,1049.73,2.55,Win,Friday,10/2024,2024
25/10/2024 15:00,25/10/2024 17:00,31/10/2024 15:00,31/10/2024 17:00,6d 00h 00m,SHORT,1,20603.25,20060.75,534.37,2.59,Win,Friday,10/2024,2024
31/10/2024 15:00,31/10/2024 17:00,01/11/2024 14:00,01/11/2024 16:00,23h 00m,SHORT,5,20023.25,20235.0,-1099.01,-1.1,Loss,Thursday,10/2024,2024
01/11/2024 15:00,01/11/2024 17:00,06/11/2024 13:00,06/11/2024 15:00,4d 22h 00m,LONG,5,20208.25,20687.0,2352.85,2.33,Win,Friday,11/2024,2024
06/11/2024 15:00,06/11/2024 17:00,06/11/2024 20:00,06/11/2024 22:00,5h 00m,LONG,2,20666.0,20878.0,407.38,0.99,Win,Wednesday,11/2024,2024
06/11/2024 15:00,06/11/2024 17:00,07/11/2024 15:00,07/11/2024 17:00,1d 00h 00m,LONG,3,20666.0,21161.0,1459.9,2.35,Win,Wednesday,11/2024,2024
07/11/2024 15:00,07/11/2024 17:00,15/11/2024 13:00,15/11/2024 15:00,7d 22h 00m,LONG,5,21086.5,20811.5,-1416.9,-1.34,Loss,Thursday,11/2024,2024
15/11/2024 15:00,15/11/2024 17:00,19/11/2024 18:00,19/11/2024 20:00,4d 03h 00m,SHORT,5,20542.75,20784.75,-1251.33,-1.22,Loss,Friday,11/2024,2024
